name,aum,phone,website
ETXEA CAPITAL,5.00,,www.etxeacapital.com
INCO VENTURES,2.00,+033 1 85 73 62 56,www.inco.co.com
LAZARD FRERES GESTION,41.5,0144130111,
AMUNDI ASSET MANAGEMENT,2240.0,0176333030,
MANDARINE GESTION,6.0,0153402020,http://www.mandarine-gestion.com
RGREEN INVEST SAS,2.60,,www.rgreen.fr
TRUSTEAM FINANCE,1.2,0142964030,www.trusteam.fr
MY SHARE COMPANY,2.00,,www.mysharecompany.com
ALTAROC PARTNERS SAS,4.40,0181729700,https://www.altaroc.pe/
RICHELIEU INVEST,2.0,0142890000,www.richelieuinvest.com
1 2 3 INVESTMENT MANAGERS,2.50,0149269800,http://www.123-im.com
IVO CAPITAL PARTNERS,1.6,,
CONQUEST ADVISORS FRANCE,6.00,,www.conquest.group
KYOSEIL ASSET MANAGEMENT,7.00,0442522690,www.cpgfinance.com
OFI INVEST REAL ESTATE (SGP),4.20,,https://www.ofi-invest-re.com/sgp/
ADVENIS  REAL ESTATE INVESTMENT MANAGEMENT,8.00,01 70 16 95 71,www.advenis-reim.com
AMIRAL GESTION,3.5,0147207818,www.amiralgestion.fr
SYQUANT CAPITAL,3.50,(01) 42 56 56 23,www.syquant-capital.fr
LATOUR CAPITAL MANAGEMENT SAS,4.00,+33 1 40 62 30 12,http://www.latour-capital.fr/
HSBC REIM ( FRANCE ),731.00,0140702135,www.hsbc-reim.fr
TILT CAPITAL PARTNERS,3.70,,https://www.tilt-capital.com/
NIXEN PARTNERS,2.00,0175774600,www.nixen.com
Noteus Partners,47.00,,www.noteus.com
Ouest Rebond,6.00,,www.breizh-rebond.fr
TRUFFLE CAPITAL S.A.S,1.20,01 47 20 12 02,www.truffle.com
CARTESIA,12.00,01 56 43 40 03,www.cartesiafinance.com
CEREA PARTNERS,1.50,0183751600,www.cerea.com
ACA - ASSET MANAGEMENT COMPANY & ASSOCIES,2.00,01 76 62 35 39,www.aca-gestion.com
EIFFEL INVESTMENT GROUP,6.8,0139543567,
21 INVEST FRANCE,12.00,0156883300,www.21invest.com
IQ EQ Management,750.00,0180279999,https://iqeq.fr/
NCI,2025.00,0232186302,n-ci.com
IM GLOBAL PARTNER,43.8,0188407500,www.imgp.com
SOCIETE DE GESTION PREVOIR,4.00,01 53 20 32 90,http://www.sgprevoir.fr/
PERIAL ASSET MANAGEMENT SAS,41.00,01 56 43 11 00,https://www.perial.com/
MIROVA,35.0,0178408736,http://www.mirova.com/fr
ERES GESTION,6.7,01.49.70.98.88,www.eres-gestion.com
WHITE STAR CAPITAL FRANCE SAS,2.00,+33 (0) 7 7195 2025,www.whitestarcapital.com
BNP PARIBAS REAL ESTATE INVESTMENT MANAGEMENT FRANCE,45.00,01 55 65 23 83,www.reim.bnpparibas.fr
AEQUAM CAPITAL,11.00,0173019374,https://kanopy-am.com/
INVESTED PARTNERS,4.00,,https://www.investedpartners.org/
MW GESTION,2.00,0142865445,mwgestion.com
ARLANE,4.00,,www.arlane.com
PALATINE ASSET MANAGEMENT,5.8,0155279606,www.palatine-am.com
INOVALIS,7.00,01 56 43 33 23,www.inovalis.com
MONTPENSIER ARBEVEL,5.00,0145055555,www.montpensier-arbevel.com/
AXA IM SELECT FRANCE,35.00,,https://select.axa-im.fr
DNCA FINANCE,26.3,0158625500,www.dnca-investments.com
FundPartner AM,6.00,,www.fundpartner.eu
ECOFI INVESTISSEMENTS,8.2,01 44 88 39 24,www.ecofi.fr
SYCOMORE ASSET MANAGEMENT,7.8,0144401612,www.sycomore-am.com
F&A ASSET MANAGEMENT,50.00,,https://fa-am.com/
Althéis,1.70,01 75 85 97 47,https://www.althe.is
AEW,8.50,01 78 40 53 00,https://www.aewciloger.com/
WEINBERG CAPITAL PARTNERS,2.10,01 53 53 55 10,www.weinbergcapital.com
PRIVATE CORNER,44.00,+33622530690,www.private-corner.eu
NOVAXIA INVESTISSEMENT,2.00,0142290713,www.novaxia-invest.fr
AURIS GESTION,4.3,0142258340,
FINANCIERE DE L'ECHIQUIER,9.5,0147239090,www.lfde.com
ALTER EQUITY SAS,5.00,01 42 86 96 41,https://www.alter-equity.com/
REDTREE CAPITAL FRANCE,1.70,01 40 73 86 20,https://www.redtreecapital.com/
ARKEA ASSET MANAGEMENT,26.8,09.69.32.88.32,www.arkea-am.com
CARMIGNAC GESTION,33.9,0142865335,www.carmignac.com
LGT PRIVATE DEBT (FRANCE) SAS,10.00,+44 0 7769221140,www.lgtcp.com
CIAM,4.00,01 44 70 97 96,www.ci-am.com
ETERNAM,2.00,0153932323,https://www.eternam.fr/
DORVAL ASSET MANAGEMENT,40.00,,www.dorval-am.com
EXTENDAM,4.80,01 80 27 18 53,www.extendam.com
DAUPHINE AM,2.00,01 47 20 58 07,www.dauphine-am.fr
Sienna AM France,4.00,0153769999,https://www.sienna-im.com/fr/services/dette-privee/
SOFIDY,5.00,01.69.87.02.00,www.sofidy.com
CATHAY CAPITAL PRIVATE EQUITY,8.00,0142252800,www.cathay.fr
OMADA Investment Managers,4.00,,https://omada.fr
ARKEA REAL ESTATE INVESTMENT MANAGEMENT,50.00,,www.arkea-reim.com
COVEA FINANCE,7.5,0140065150,www.covea-finance.fr
OVNI CAPITAL,5.00,,https://ovni.vc
AEDGIS,20.00,,https://www.aedgis.com/
MONTAGU PRIVATE EQUITY SAS,2.00,0144951180,www.montagu.com
IGEA FINANCE,4.00,0144434900,www.igeafinance.com
O2 CAPITAL ASSET MANAGEMENT,7.00,,www.o2am.com
Société des nouveaux patrimoines,4.00,,www.sdnp.fr
LBO FRANCE GESTION,2.50,0140627767,www.lbofrance.com
INTER GESTION REIM,6.00,01 43 12 52 52,www.inter-gestion.com
DELUBAC ASSET MANAGEMENT,4.00,0144953787,www.delubac-am.fr
APICIL ASSET MANAGEMENT,7.00,0155312400,www.apicil-asset-management.com
EURYALE,3.30,0148782208,www.euryale-am.fr
Square Capital (Paris) SAS,2.00,,http://www.squarecapital.co.uk/
Allianz Immovalor,4.70,0185636535,http://www.immovalor.fr
DEMETER INVESTMENT MANAGERS,1.30,0143125333,https://demeter-im.com
KATKO CAPITAL,380.00,,www.katkocapital.com
AXIPIT REAL ESTATE PARTNERS,2.00,,www.axipit.com
SWEN CAPITAL PARTNERS,9.50,0140686021,www.swen-cp.fr
ELEVA CAPITAL,13.0,01 40 69 28 70,http://www.elevacapital.com
ALOE PRIVATE EQUITY,4.00,0175434208,www.aloe-group.com
GROUPAMA ASSET MANAGEMENT,32.7,0144567676,
BFT INVESTMENT MANAGERS,31.7,0176379090,www.bft-im.com
ROTHSCHILD & CO ASSET MANAGEMENT,37.0,01 40 74 40 74,am.eu.rothschildandco.com
DEALBYDEAL INVEST,2.00,,http://www.dealbydeal.net
ALDERAN,3.00,01 42 89 47 95,https://www.alderan.fr
EDMOND DE ROTHSCHILD ASSET MANAGEMENT (FRANCE),40.00,0140172525,www.edmond-de-rothschild.com
PEQAN,6.00,,www.peqan.fr
OPTIGESTION,40.00,0173110000,http://www.optigestion.com/
AGRICA EPARGNE,2.20,0171215325,www.agricaepargne.com
ATLAND VOISIN,3.00,0380599090,www.atland-voisin.com
SERENA CAPITAL,1.40,0177373030,www.serena.vc
ANAXIS ASSET MANAGEMENT,2.8,09 73 87 13 21,www.anaxiscapital.com
AMPLEGEST,2.20,0140670840,www.amplegest.com
LAMAZERE GESTION PRIVEE,7.00,04.44.44.97.32,www.lamazeregp.fr
LLM & ASSOCIES,2.00,,www.llm-associes.fr
HOTEL INVESTISSEMENT CAPITAL,3.00,01 72 32 21 03,hi-capital.fr
ATLANTE GESTION,5.40,0153459595,www.agestion.fr
PRAEMIA REIM France,5.00,0144217415,https://www.praemiareim.fr/fr/
Lita Gestion,2.00,,https://litagestion.com
BNP PARIBAS ASSET MANAGEMENT Europe,35.70,0158972525,www.bnpparibas-am.fr
ELLIPSIS ASSET MANAGEMENT,4.4,01 78 41 55 00,www.ellipsis-am.com
AlTi Wealth Management (France),60.00,0156898336,https://alti-global.com/
RAISE,2.00,01 84170909,https://www.raise.co/
QUALIUM INVESTISSEMENT,2.10,0181804700,http://www.qualium-investissement.com
IRIS CAPITAL MANAGEMENT,3.0,0145627373,www.iriscapital.com
Parametric,10.0,0142907000,https://parametricsas.morganstanley.com/
Flandrin Capital,2.0,,https://www.flandrinfinance.com
HSBC REIM ( FRANCE ),731.00,0140702135,www.hsbc-reim.fr
TRUFFLE CAPITAL S.A.S,1.20,01 47 20 12 02,www.truffle.com
VERMEER CAPITAL PARTNERS,6.0,01.44.20.02.02,www.vermeercapital.fr
21 INVEST FRANCE,12.00,0156883300,www.21invest.com
IQ EQ Management,750.00,0180279999,https://iqeq.fr/
NCI,2025.00,0232186302,n-ci.com
SOCIETE DE GESTION PREVOIR,4.00,01 53 20 32 90,http://www.sgprevoir.fr/
PERIAL ASSET MANAGEMENT SAS,41.00,01 56 43 11 00,https://www.perial.com/
EMZ PARTNERS,5.0,0153302330,www.emzpartners.com
WHITE STAR CAPITAL FRANCE SAS,2.00,+33 (0) 7 7195 2025,www.whitestarcapital.com
BNP PARIBAS REAL ESTATE INVESTMENT MANAGEMENT FRANCE,45.00,01 55 65 23 83,www.reim.bnpparibas.fr
AEQUAM CAPITAL,11.00,0173019374,https://kanopy-am.com/
INVESTED PARTNERS,4.00,,https://www.investedpartners.org/
EURAZEO GLOBAL INVESTOR,2.55,01 53 83 81 60,https://www.eurazeo.com/fr
MW GESTION,2.00,0142865445,mwgestion.com
ARLANE,4.00,,www.arlane.com
INOVALIS,7.00,01 56 43 33 23,www.inovalis.com
MONTPENSIER ARBEVEL,5.00,0145055555,www.montpensier-arbevel.com/
ATALANTE,9.9,0142603805,www.capza.co
AXA IM SELECT FRANCE,35.00,,https://select.axa-im.fr
FundPartner AM,6.00,,www.fundpartner.eu
F&A ASSET MANAGEMENT,50.00,,https://fa-am.com/
Althéis,1.70,01 75 85 97 47,https://www.althe.is
AEW,8.50,01 78 40 53 00,https://www.aewciloger.com/
WEINBERG CAPITAL PARTNERS,2.10,01 53 53 55 10,www.weinbergcapital.com
PRIVATE CORNER,44.00,+33622530690,www.private-corner.eu
NOVAXIA INVESTISSEMENT,2.00,0142290713,www.novaxia-invest.fr
MILLENNIUM CAPITAL MANAGEMENT FRANCE,79.0,,https://www.mlp.com/
AURIGA PARTNERS,6.0,,www.auriga.vc
ALTER EQUITY SAS,5.00,01 42 86 96 41,https://www.alter-equity.com/
Société Générale Investment Solutions (France),30.0,01 53 43 99.87,https://investmentsolutions.societegenerale.fr
REDTREE CAPITAL FRANCE,1.70,01 40 73 86 20,https://www.redtreecapital.com/
RIVAGE INVESTMENT,8.0,0170912596,www.rivageinvestment.com
CAPITAL FUND MANAGEMENT,20.5,0149495949,www.cfm.fr
LGT PRIVATE DEBT (FRANCE) SAS,10.00,+44 0 7769221140,www.lgtcp.com
CIAM,4.00,01 44 70 97 96,www.ci-am.com
ETERNAM,2.00,0153932323,https://www.eternam.fr/
INFRAVIA CAPITAL PARTNERS,16.0,0140686764,www.infraviacapital.com
DORVAL ASSET MANAGEMENT,40.00,,www.dorval-am.com
EXTENDAM,4.80,01 80 27 18 53,www.extendam.com
DAUPHINE AM,2.00,01 47 20 58 07,www.dauphine-am.fr
ADBIO PARTNERS,10.7,01 56 81 63 03,www.adbio.partners
Sienna AM France,4.00,0153769999,https://www.sienna-im.com/fr/services/dette-privee/
SOFIDY,5.00,01.69.87.02.00,www.sofidy.com
CATHAY CAPITAL PRIVATE EQUITY,8.00,0142252800,www.cathay.fr
OMADA Investment Managers,4.00,,https://omada.fr
CoinShares Asset Management,10.0,,https://coinshares.com/
ARKEA REAL ESTATE INVESTMENT MANAGEMENT,50.00,,www.arkea-reim.com
OVNI CAPITAL,5.00,,https://ovni.vc
ARDIAN FRANCE,20.0,0141719486,www.ardian.com
AEDGIS,20.00,,https://www.aedgis.com/
MONTAGU PRIVATE EQUITY SAS,2.00,0144951180,www.montagu.com
IGEA FINANCE,4.00,0144434900,www.igeafinance.com
CHEQUERS PARTENAIRES SA,1.07,0153576100,www.chequerscapital.com
O2 CAPITAL ASSET MANAGEMENT,7.00,,www.o2am.com
Société des nouveaux patrimoines,4.00,,www.sdnp.fr
LBO FRANCE GESTION,2.50,0140627767,www.lbofrance.com
INTER GESTION REIM,6.00,01 43 12 52 52,www.inter-gestion.com
DELUBAC ASSET MANAGEMENT,4.00,0144953787,www.delubac-am.fr
APICIL ASSET MANAGEMENT,7.00,0155312400,www.apicil-asset-management.com
EURYALE,3.30,0148782208,www.euryale-am.fr
Square Capital (Paris) SAS,2.00,,http://www.squarecapital.co.uk/
Allianz Immovalor,4.70,0185636535,http://www.immovalor.fr
DEMETER INVESTMENT MANAGERS,1.30,0143125333,https://demeter-im.com
PAI SAS,3.6,+33 1 43 16 63 00,https://www.paipartners.com/language/en/
CONSOLIDATION ET DEVELOPPEMENT GESTION,100.0,0180400463,www.fonds-fcde.fr
KATKO CAPITAL,380.00,,www.katkocapital.com
AXIPIT REAL ESTATE PARTNERS,2.00,,www.axipit.com
SWEN CAPITAL PARTNERS,9.50,0140686021,www.swen-cp.fr
ALOE PRIVATE EQUITY,4.00,0175434208,www.aloe-group.com
DEALBYDEAL INVEST,2.00,,http://www.dealbydeal.net
ALDERAN,3.00,01 42 89 47 95,https://www.alderan.fr
ADAGIA PARTNERS,1.3,,https://www.adagiapartners.com/
CPR ASSET MANAGEMENT,2.0,01 53 15 70 00,www.cpr-am.com
EDMOND DE ROTHSCHILD ASSET MANAGEMENT (FRANCE),40.00,0140172525,www.edmond-de-rothschild.com
PEQAN,6.00,,www.peqan.fr
TIKEHAU INVESTMENT MANAGEMENT,27.05,0153590500,www.tikehauim.com
OPTIGESTION,40.00,0173110000,http://www.optigestion.com/
AGRICA EPARGNE,2.20,0171215325,www.agricaepargne.com
ATLAND VOISIN,3.00,0380599090,www.atland-voisin.com
SERENA CAPITAL,1.40,0177373030,www.serena.vc
AMPLEGEST,2.20,0140670840,www.amplegest.com
LAMAZERE GESTION PRIVEE,7.00,04.44.44.97.32,www.lamazeregp.fr
KORELYA CAPITAL,18.5,,www.korelyacapital.com
LLM & ASSOCIES,2.00,,www.llm-associes.fr
HOTEL INVESTISSEMENT CAPITAL,3.00,01 72 32 21 03,hi-capital.fr
ATLANTE GESTION,5.40,0153459595,www.agestion.fr
PRAEMIA REIM France,5.00,0144217415,https://www.praemiareim.fr/fr/
Lita Gestion,2.00,,https://litagestion.com
BEX CAPITAL,2.05,01 86 95 32 80,www.bexcapital.com
BNP PARIBAS ASSET MANAGEMENT Europe,35.70,0158972525,www.bnpparibas-am.fr
AlTi Wealth Management (France),60.00,0156898336,https://alti-global.com/
RAISE,2.00,01 84170909,https://www.raise.co/
QUALIUM INVESTISSEMENT,2.10,0181804700,http://www.qualium-investissement.com
L CATTERTON EUROPE,37.0,01 44 95 91 41,www.lcattertoneurope.com
