name,email,phone,website,address,city,country,country_code,category,type,notes,aum,aum_date,tier,pipeline_stage,priority,aum_source
ETXEA CAPITAL,,,www.etxeacapital.com,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | LEI: 969500IISULSKD55KQ70,5.00,2024-12-31,Tier 1,lead,LOW,scraped
INCO VENTURES,,+033 1 85 73 62 56,www.inco.co.com,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | SIRET: 84464957400010 | LEI: 969500BZXZGGXIVML935,2.00,2024-12-31,Tier 1,lead,LOW,scraped
LAZARD FRERES GESTION,,0144130111,,,,France,FR,SDG,fournisseur,AUM: 41.5 Md€ | Forme juridique: Société par actions simplifiée | SIRET: 35221359900025 | LEI: 969500X727PNIAL33P77,41.5,2024-12-31,Tier 1,qualified,HIGH,
AMUNDI ASSET MANAGEMENT,,0176333030,,,,France,FR,SDG,fournisseur,AUM: 2240.0 Md€ | Forme juridique: Société par actions simplifiée | LEI: DQ2T0MMUTO0IPF9G9Z35,2240.0,2024-12-31,Tier 1,qualified,HIGH,
MANDARINE GESTION,,0153402020,http://www.mandarine-gestion.com,,,France,FR,SDG,fournisseur,AUM: 6.0 Md€ | Forme juridique: Société par actions simplifiée | SIRET: 50122120400016 | LEI: 969500EWBJ0A1W6UTO35,6.0,2024-12-31,Tier 1,qualified,HIGH,
RGREEN INVEST SAS,,,www.rgreen.fr,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | SIRET: 79782799500029 | LEI: 969500W4RH498UUOLF61,2.60,2024-12-31,Tier 1,lead,LOW,scraped
TRUSTEAM FINANCE,,0142964030,www.trusteam.fr,,,France,FR,SDG,fournisseur,AUM: 1.2 Md€ | Forme juridique: Société par actions simplifiée | SIRET: 43363414400052 | LEI: 9695003RN4OMRE98EP84,1.2,2024-12-31,Tier 1,qualified,HIGH,
MY SHARE COMPANY,,,www.mysharecompany.com,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | SIRET: 83404588200026 | LEI: 969500WWOSWHC3ANC011,2.00,2024-12-31,Tier 1,lead,LOW,scraped
ALTAROC PARTNERS SAS,,0181729700,https://www.altaroc.pe/,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | SIRET: 30904484000051 | LEI: 969500H26Q52060R5J89,4.40,2024-12-31,Tier 1,lead,LOW,scraped
RICHELIEU INVEST,,0142890000,www.richelieuinvest.com,,,France,FR,SDG,fournisseur,AUM: 2.0 Md€ | Forme juridique: Société anonyme | SIRET: 31751719100076 | LEI: 969500ZKXE1NM0UBUP47,2.0,2024-12-31,Tier 1,qualified,HIGH,
1 2 3 INVESTMENT MANAGERS,,0149269800,http://www.123-im.com,,,France,FR,SDG,fournisseur,Forme juridique: Société anonyme | LEI: 969500FCL62N0Y9Z0Y08,2.50,2024-12-31,Tier 1,lead,LOW,scraped
IVO CAPITAL PARTNERS,,,,,,France,FR,SDG,fournisseur,AUM: 1.6 Md€ | Forme juridique: Société par actions simplifiée | SIRET: 75310743200035 | LEI: 9695001347FT1CMYYU26,1.6,2024-12-31,Tier 1,qualified,HIGH,
CONQUEST ADVISORS FRANCE,,,www.conquest.group,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | LEI: 969500F9V6N9LVIUYI05,6.00,2024-12-31,Tier 1,lead,LOW,scraped
KYOSEIL ASSET MANAGEMENT,,0442522690,www.cpgfinance.com,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | SIRET: 42468693900010 | LEI: 969500GROWRCIDJQAZ27,7.00,2024-12-31,Tier 1,lead,LOW,scraped
OFI INVEST REAL ESTATE (SGP),,,https://www.ofi-invest-re.com/sgp/,,,France,FR,SDG,fournisseur,Forme juridique: Société anonyme | LEI: 96950034E1K0KW2NC888,4.20,2024-12-31,Tier 1,lead,LOW,scraped
ADVENIS  REAL ESTATE INVESTMENT MANAGEMENT,,01 70 16 95 71,www.advenis-reim.com,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | SIRET: 83340989900022 | LEI: 969500X2UMB0V3UMCL16,8.00,2024-12-31,Tier 1,lead,LOW,scraped
AMIRAL GESTION,,0147207818,www.amiralgestion.fr,,,France,FR,SDG,fournisseur,AUM: 3.5 Md€ | Forme juridique: Société par actions simplifiée | SIRET: 44522409000016 | LEI: 969500797CYN8EAVWA69,3.5,2024-12-31,Tier 1,qualified,HIGH,
SYQUANT CAPITAL,,(01) 42 56 56 23,www.syquant-capital.fr,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | SIRET: 48278158000022 | LEI: 969500YXMX6ZAENXSP27,3.50,2024-12-31,Tier 1,lead,LOW,scraped
LATOUR CAPITAL MANAGEMENT SAS,,+33 1 40 62 30 12,http://www.latour-capital.fr/,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | SIRET: 53276512000045 | LEI: 969500EO5VJBNE6LTB41,4.00,2024-12-31,Tier 1,lead,LOW,scraped
TILT CAPITAL PARTNERS,,,https://www.tilt-capital.com/,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | SIRET: 83979536600021 | LEI: 969500BD1RVKRIDA7272,3.70,2024-12-31,Tier 1,lead,LOW,scraped
NIXEN PARTNERS,,0175774600,www.nixen.com,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | SIRET: 43241356500040 | LEI: 9695007USH6OR2WT3H30,2.00,2024-12-31,Tier 1,lead,LOW,scraped
Noteus Partners,,,www.noteus.com,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | LEI: 969500VD5RA5Q9W1FM29,47.00,2024-12-31,Tier 1,lead,LOW,scraped
Ouest Rebond,,,www.breizh-rebond.fr,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | LEI: 969500697BLPTFE88M07,6.00,2024-12-31,Tier 1,lead,LOW,scraped
CARTESIA,,01 56 43 40 03,www.cartesiafinance.com,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | SIRET: 51103788900017 | LEI: 2549005H7EFB6RX1Y168,12.00,2024-12-31,Tier 1,lead,LOW,scraped
CEREA PARTNERS,,0183751600,www.cerea.com,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | SIRET: 45370623600024 | LEI: 969500GQMDE6NX7J6R11,1.50,2024-12-31,Tier 1,lead,LOW,scraped
ACA - ASSET MANAGEMENT COMPANY & ASSOCIES,,01 76 62 35 39,www.aca-gestion.com,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | SIRET: 48432411600025 | LEI: 969500O1Q4OS43Y24G03,2.00,2024-12-31,Tier 1,lead,LOW,scraped
EIFFEL INVESTMENT GROUP,,0139543567,,,,France,FR,SDG,fournisseur,AUM: 6.8 Md€ | Forme juridique: Société par actions simplifiée | LEI: 549300PBLPGO5HHRXL63,6.8,2024-12-31,Tier 1,qualified,HIGH,
IM GLOBAL PARTNER,,0188407500,www.imgp.com,,,France,FR,SDG,fournisseur,AUM: 43.8 Md€ | Forme juridique: Société par actions simplifiée | SIRET: 53929248200012 | LEI: 969500O9DNGVY5KDT708,43.8,2024-12-31,Tier 1,qualified,HIGH,
MIROVA,,0178408736,http://www.mirova.com/fr,,,France,FR,SDG,fournisseur,Forme juridique: Société par actions simplifiée | SIRET: 39464821600056 | LEI: 969500YW3F4AWI51IH84,35.0,2024-12-31,Tier 1,qualified,HIGH,
ERES GESTION,,01.49.70.98.88,www.eres-gestion.com,,,France,FR,SDG,fournisseur,AUM: 6.7 Md€ | Forme juridique: Société par actions simplifiée | SIRET: 49350475700011 | LEI: 96950007E0G0C3N98D53,6.7,2024-12-31,Tier 1,qualified,HIGH,
PALATINE ASSET MANAGEMENT,,0155279606,www.palatine-am.com,,,France,FR,SDG,fournisseur,AUM: 5.8 Md€ | Forme juridique: Société anonyme à Conseil d'Administration | SIRET: 95034088500025 | LEI: 9695000QMU1H848E3Q66,5.8,2024-12-31,Tier 1,qualified,HIGH,
DNCA FINANCE,,0158625500,www.dnca-investments.com,,,France,FR,SDG,fournisseur,AUM: 26.3 Md€ | Forme juridique: Société en commandite simple | SIRET: 43251804100046 | LEI: 9695000CUPKHA77F4266,26.3,2024-12-31,Tier 1,qualified,HIGH,
ECOFI INVESTISSEMENTS,,01 44 88 39 24,www.ecofi.fr,,,France,FR,SDG,fournisseur,AUM: 8.2 Md€ | Forme juridique: Société anonyme | SIRET: 99999036900087 | LEI: 969500Y51OCOYMD5F464,8.2,2024-12-31,Tier 1,qualified,HIGH,
SYCOMORE ASSET MANAGEMENT,,0144401612,www.sycomore-am.com,,,France,FR,SDG,fournisseur,AUM: 7.8 Md€ | Forme juridique: Société anonyme à Conseil d'Administration | SIRET: 43823010400046 | LEI: 9695006BRVMTPTUB1R68,7.8,2024-12-31,Tier 1,qualified,HIGH,
AURIS GESTION,,0142258340,,,,France,FR,SDG,fournisseur,AUM: 4.3 Md€ | Forme juridique: Société Anonyme à Directoire | SIRET: 47978977800012 | LEI: 969500ZO1N6L8K3WIE40,4.3,2024-12-31,Tier 1,qualified,HIGH,
FINANCIERE DE L'ECHIQUIER,,0147239090,www.lfde.com,,,France,FR,SDG,fournisseur,AUM: 9.5 Md€ | Forme juridique: Société anonyme | SIRET: 35204545400035 | LEI: 9695009FIABOZ346XE79,9.5,2024-12-31,Tier 1,qualified,HIGH,
ARKEA ASSET MANAGEMENT,,09.69.32.88.32,www.arkea-am.com,,,France,FR,SDG,fournisseur,AUM: 26.8 Md€ | Forme juridique: Société anonyme à Conseil d'Administration | SIRET: 43841437700046 | LEI: 969500OXP9XOC0TJFZ49,26.8,2024-12-31,Tier 1,qualified,HIGH,
CARMIGNAC GESTION,,0142865335,www.carmignac.com,,,France,FR,SDG,fournisseur,AUM: 33.9 Md€ | Forme juridique: Société anonyme | SIRET: 34950167600028 | LEI: X0V79C0OOSCP8T3CJZ56,33.9,2024-12-31,Tier 1,qualified,HIGH,
COVEA FINANCE,,0140065150,www.covea-finance.fr,,,France,FR,SDG,fournisseur,AUM: 7.5 Md€ | Forme juridique: Société par actions simplifiée | SIRET: 40762560700020 | LEI: 969500T2ER13UUWFNJ46,7.5,2024-12-31,Tier 1,qualified,HIGH,
ELEVA CAPITAL,,01 40 69 28 70,http://www.elevacapital.com,,,France,FR,SDG,fournisseur,AUM: 13.0 Md€ | Forme juridique: Société par actions simplifiée | SIRET: 82937307500029 | LEI: 2138006AZELNYKR3A325,13.0,2024-12-31,Tier 1,qualified,HIGH,
GROUPAMA ASSET MANAGEMENT,,0144567676,,,,France,FR,SDG,fournisseur,AUM: 32.7 Md€ | Forme juridique: Société anonyme à Conseil d'Administration | SIRET: 38952215200047 | LEI: 96950003NUWIFWUNHV80,32.7,2024-12-31,Tier 1,qualified,HIGH,
BFT INVESTMENT MANAGERS,,0176379090,www.bft-im.com,,,France,FR,SDG,fournisseur,AUM: 31.7 Md€ | Forme juridique: Société anonyme | SIRET: 33431696500030 | LEI: 7IZ3Y5LMSQ34P1JVVF28,31.7,2024-12-31,Tier 1,qualified,HIGH,
ROTHSCHILD & CO ASSET MANAGEMENT,,01 40 74 40 74,am.eu.rothschildandco.com,,,France,FR,SDG,fournisseur,Forme juridique: Société en commandite simple | SIRET: 82454017300021 | LEI: 969500KLODYGIWUZ9F42,37.0,2024-12-31,Tier 1,qualified,HIGH,
ANAXIS ASSET MANAGEMENT,,09 73 87 13 21,www.anaxiscapital.com,,,France,FR,SDG,fournisseur,AUM: 2.8 Md€ | Forme juridique: Société par actions simplifiée | SIRET: 52345535000026 | LEI: 9695005VR5O4WBJDM975,2.8,2024-12-31,Tier 1,qualified,HIGH,
ELLIPSIS ASSET MANAGEMENT,,01 78 41 55 00,www.ellipsis-am.com,,,France,FR,SDG,fournisseur,AUM: 4.4 Md€ | Forme juridique: Société anonyme | SIRET: 50486873800023 | LEI: 969500DEKQHM09GPQM16,4.4,2024-12-31,Tier 1,qualified,HIGH,
